product_id,title,description,category,price,rating,review_count,popularity,created_at
100001,Speaker Pro 168,Speaker Pro 168 with advanced features and high performance,Storage,11493,4.5,1890,33120,2024-10-19
100002,Speaker Max 822,Speaker Max 822 with advanced features and high performance,Home Appliances,55110,4.4,5520,29811,2024-05-18
100003,Router Plus 414,Router Plus 414 with advanced features and high performance,Smart Home,38704,4.4,7047,21301,2024-12-03
100004,Camera Elite 252,Camera Elite 252 with advanced features and high performance,Gaming,74543,4.9,5688,43308,2024-10-29
100005,Phone Neo 613,Phone Neo 613 with advanced features and high performance,Smart Home,6666,4.2,3399,48418,2024-05-14
100006,Watch Elite 639,Watch Elite 639 with advanced features and high performance,Office,27647,4.3,7560,36462,2024-03-27
100007,Router Pro 595,Router Pro 595 with advanced features and high performance,Gaming,98362,4.1,6155,18976,2024-05-23
100008,Headphones Smart 791,Headphones Smart 791 with advanced features and high performance,Wearables,43791,4.7,3146,39059,2024-08-25
100009,Purifier Ultra 586,Purifier Ultra 586 with advanced features and high performance,Wearables,4179,4.7,11818,21098,2024-09-21
100010,Tablet Max 696,Tablet Max 696 with advanced features and high performance,Home Appliances,77024,4.7,11310,25082,2024-05-05
100011,Keyboard Pro 413,Keyboard Pro 413 with advanced features and high performance,Accessories,9434,4.9,2435,42370,2024-04-24
100012,Keyboard Max 658,Keyboard Max 658 with advanced features and high performance,Office,33426,4.1,10121,40288,2024-06-25
100013,Mouse Ultra 199,Mouse Ultra 199 with advanced features and high performance,Mobiles,82259,4.9,1183,34239,2024-11-10
100014,Watch Ultra 534,Watch Ultra 534 with advanced features and high performance,TVs,173556,4.8,8606,47471,2024-02-13
100015,SSD Ultra 821,SSD Ultra 821 with advanced features and high performance,Fitness,12538,4.9,3325,11331,2024-05-12
100016,Purifier Pro 633,Purifier Pro 633 with advanced features and high performance,Smart Home,49678,4.3,2932,19837,2024-12-21
100017,Phone Plus 667,Phone Plus 667 with advanced features and high performance,Audio,20099,4.6,3901,45133,2024-04-27
100018,Speaker Ultra 680,Speaker Ultra 680 with advanced features and high performance,Storage,23649,4.3,5413,22129,2024-10-30
100019,Headphones Plus 396,Headphones Plus 396 with advanced features and high performance,Smart Home,29784,4.5,2207,19651,2024-12-17
100020,SSD Plus 504,SSD Plus 504 with advanced features and high performance,Laptops,48099,4.6,8528,39124,2024-01-09
100021,Console Prime 776,Console Prime 776 with advanced features and high performance,Gaming,9108,4.5,52,21920,2024-02-11
100022,Router Max 856,Router Max 856 with advanced features and high performance,Accessories,20193,4.3,416,15661,2024-12-26
100023,Monitor Plus 460,Monitor Plus 460 with advanced features and high performance,Storage,29315,4.7,6641,38141,2024-04-21
100024,Console Pro 109,Console Pro 109 with advanced features and high performance,Storage,17126,4.1,6582,4167,2024-11-30
100025,Watch Pro 108,Watch Pro 108 with advanced features and high performance,Mobiles,91615,4.8,528,17133,2024-05-24
100026,Monitor Neo 882,Monitor Neo 882 with advanced features and high performance,Office,38219,4.2,11201,49629,2024-04-27
100027,Keyboard Plus 121,Keyboard Plus 121 with advanced features and high performance,Audio,50398,4.0,3265,47863,2024-02-18
100028,Treadmill Smart 184,Treadmill Smart 184 with advanced features and high performance,Cameras,151552,4.9,9951,46354,2024-12-11
100029,Treadmill Neo 390,Treadmill Neo 390 with advanced features and high performance,Office,21860,4.7,5351,21590,2024-01-23
100030,Keyboard Prime 146,Keyboard Prime 146 with advanced features and high performance,Tablets,22588,4.5,4798,31828,2024-11-14
100031,Speaker Elite 271,Speaker Elite 271 with advanced features and high performance,Fitness,31917,4.7,2617,43122,2024-05-10
100032,Laptop Plus 320,Laptop Plus 320 with advanced features and high performance,Accessories,14198,4.6,9151,10176,2024-01-02
100033,Keyboard Pro 569,Keyboard Pro 569 with advanced features and high performance,Gaming,18566,4.2,56,5813,2024-11-01
100034,Purifier Elite 917,Purifier Elite 917 with advanced features and high performance,Storage,22262,4.7,3322,3400,2024-11-03
100035,Speaker Neo 770,Speaker Neo 770 with advanced features and high performance,Home Appliances,17888,4.9,1190,46669,2024-05-08
100036,Router Smart 133,Router Smart 133 with advanced features and high performance,Storage,33038,4.2,7682,23223,2024-12-03
100037,Treadmill Plus 771,Treadmill Plus 771 with advanced features and high performance,Cameras,291868,4.0,5857,11307,2024-11-05
100038,Laptop Elite 576,Laptop Elite 576 with advanced features and high performance,Accessories,12503,4.1,11146,8905,2024-01-25
100039,Console Ultra 344,Console Ultra 344 with advanced features and high performance,Tablets,49352,4.8,9808,16627,2024-01-21
100040,Console Pro 252,Console Pro 252 with advanced features and high performance,Mobiles,28720,4.6,11307,26661,2024-06-28
100041,Monitor Plus 790,Monitor Plus 790 with advanced features and high performance,Home Appliances,89857,4.8,8704,20391,2024-04-07
100042,Speaker Ultra 445,Speaker Ultra 445 with advanced features and high performance,Mobiles,26029,4.3,1169,45079,2024-06-29
100043,Purifier Pro 149,Purifier Pro 149 with advanced features and high performance,Storage,31176,4.8,210,36286,2024-12-13
100044,Camera Smart 107,Camera Smart 107 with advanced features and high performance,Audio,34512,3.8,9676,10127,2024-10-17
100045,Treadmill Pro 852,Treadmill Pro 852 with advanced features and high performance,TVs,185961,4.4,11497,34119,2024-10-03
100046,Speaker Ultra 661,Speaker Ultra 661 with advanced features and high performance,Home Appliances,26762,4.6,10041,13342,2024-02-22
100047,Speaker Pro 167,Speaker Pro 167 with advanced features and high performance,Accessories,8904,4.5,441,29370,2024-06-06
100048,SSD Elite 227,SSD Elite 227 with advanced features and high performance,Mobiles,76039,3.9,2966,45048,2024-07-30
100049,Watch Prime 642,Watch Prime 642 with advanced features and high performance,Wearables,22753,4.1,8474,5585,2024-03-17
100050,Mouse Prime 925,Mouse Prime 925 with advanced features and high performance,Audio,51041,4.0,828,29182,2024-03-22
100051,Phone Plus 751,Phone Plus 751 with advanced features and high performance,Audio,5566,4.1,5962,38967,2024-07-21
100052,Console Smart 467,Console Smart 467 with advanced features and high performance,Cameras,124316,4.4,2442,46796,2024-08-22
100053,Tablet Smart 707,Tablet Smart 707 with advanced features and high performance,Cameras,55852,3.8,9437,16088,2024-05-14
