product_id,title,description,category,price,rating,review_count,popularity,created_at
11127,Samsung SAM-ST-101126 Series,Samsung SAM-ST-101126 Series built for long-term performance and reliability,Storage,42862.0,3.7,14688,235011,2023-01-31 00:00:00
14987,Netgear NET-NE-104986 Series,Netgear NET-NE-104986 Series built for long-term performance and reliability,Networking,15682.0,3.7,4868,58417,2033-08-26 00:00:00
14269,DJI DJI-PH-104268 Series,DJI DJI-PH-104268 Series built for long-term performance and reliability,Photography,74116.0,4.7,10534,158018,2031-09-08 00:00:00
10521,Logitech LOG-AC-100520 Series,Logitech LOG-AC-100520 Series built for long-term performance and reliability,Accessories,20440.0,3.6,6810,81722,2021-06-04 00:00:00
11947,Logitech LOG-AC-101946 Series,Logitech LOG-AC-101946 Series built for long-term performance and reliability,Accessories,73202.0,3.7,10348,103486,2025-04-30 00:00:00
15851,Dell DEL-CO-105850 Series,Dell DEL-CO-105850 Series built for long-term performance and reliability,Computers,47650.0,4.3,1100,16501,2036-01-07 00:00:00
13267,boAt BOA-AU-103266 Series,boAt BOA-AU-103266 Series built for long-term performance and reliability,Audio,37042.0,3.7,12508,175113,2028-12-10 00:00:00
13892,Apple APP-EL-103891 Series,Apple APP-EL-103891 Series built for long-term performance and reliability,Electronics,60167.0,4.8,5633,90134,2030-08-27 00:00:00
16552,Philips PHI-SM-106551 Series,Philips PHI-SM-106551 Series built for long-term performance and reliability,Smart Home,73587.0,4.8,10213,163409,2037-12-08 00:00:00
13318,Xiaomi XIA-EL-103317 Series,Xiaomi XIA-EL-103317 Series built for long-term performance and reliability,Electronics,38929.0,4.9,13171,210740,2029-01-30 00:00:00
18086,Nikon NIK-PH-108085 Series,Nikon NIK-PH-108085 Series built for long-term performance and reliability,Photography,45345.0,4.7,155,1551,2042-02-19 00:00:00
13815,Philips PHI-SM-103814 Series,Philips PHI-SM-103814 Series built for long-term performance and reliability,Smart Home,57318.0,4.9,4632,74124,2030-06-11 00:00:00
14667,Amazon AMA-SM-104666 Series,Amazon AMA-SM-104666 Series built for long-term performance and reliability,Smart Home,3842.0,3.7,708,9914,2032-10-10 00:00:00
16266,Lenovo LEN-CO-106265 Series,Lenovo LEN-CO-106265 Series built for long-term performance and reliability,Computers,63005.0,4.7,6495,64968,2037-02-25 00:00:00
14345,Amazon AMA-SM-104344 Series,Amazon AMA-SM-104344 Series built for long-term performance and reliability,Smart Home,76928.0,4.2,11522,161310,2031-11-23 00:00:00
14581,Samsung SAM-EL-104580 Series,Samsung SAM-EL-104580 Series built for long-term performance and reliability,Electronics,85660.0,3.6,14590,175081,2032-07-16 00:00:00
14421,Apple APP-EL-104420 Series,Apple APP-EL-104420 Series built for long-term performance and reliability,Electronics,79740.0,3.6,12510,162639,2032-02-07 00:00:00
15097,DJI DJI-PH-105096 Series,DJI DJI-PH-105096 Series built for long-term performance and reliability,Photography,19752.0,4.4,6298,62985,2033-12-14 00:00:00
14945,Samsung SAM-ST-104944 Series,Samsung SAM-ST-104944 Series built for long-term performance and reliability,Storage,14128.0,4.2,4322,51865,2033-07-15 00:00:00
11056,Amazon AMA-SM-101055 Series,Amazon AMA-SM-101055 Series built for long-term performance and reliability,Smart Home,40235.0,4.0,13765,206485,2022-11-21 00:00:00
12816,Lenovo LEN-CO-102815 Series,Lenovo LEN-CO-102815 Series built for long-term performance and reliability,Computers,20355.0,4.0,6645,73099,2027-09-16 00:00:00
11966,ASUS ASU-CO-101965 Series,ASUS ASU-CO-101965 Series built for long-term performance and reliability,Computers,73905.0,4.7,10595,158936,2025-05-19 00:00:00
12959,Logitech LOG-AC-102958 Series,Logitech LOG-AC-102958 Series built for long-term performance and reliability,Accessories,25646.0,4.0,8504,119064,2028-02-06 00:00:00
10602,Samsung SAM-EL-100601 Series,Samsung SAM-EL-100601 Series built for long-term performance and reliability,Electronics,23437.0,4.1,7863,125809,2021-08-24 00:00:00
